label,hyper,coin_key,tf,timestamp,open,high,low,close,volume
PENGU,PENGU-USDC,PENGU,1m,1773382140000,0.007399,0.007403,0.007399,0.007403,4371.0
PENGU,PENGU-USDC,PENGU,1m,1773382200000,0.007407,0.00741,0.007407,0.00741,22140.0
PENGU,PENGU-USDC,PENGU,1m,1773382260000,0.007411,0.007415,0.007411,0.007415,7665.0
PENGU,PENGU-USDC,PENGU,1m,1773382320000,0.007415,0.007415,0.007415,0.007415,4933.0
PENGU,PENGU-USDC,PENGU,1m,1773382380000,0.007415,0.007415,0.007415,0.007415,0.0
PENGU,PENGU-USDC,PENGU,1m,1773382440000,0.007409,0.007409,0.007409,0.007409,70781.0
PENGU,PENGU-USDC,PENGU,1m,1773382500000,0.007403,0.007415,0.007403,0.007415,10419.0
PENGU,PENGU-USDC,PENGU,1m,1773382560000,0.007422,0.007422,0.007422,0.007422,2364.0
PENGU,PENGU-USDC,PENGU,1m,1773382620000,0.007413,0.007413,0.007413,0.007413,1465.0
PENGU,PENGU-USDC,PENGU,1m,1773382680000,0.007406,0.007406,0.007406,0.007406,2676.0
PENGU,PENGU-USDC,PENGU,1m,1773382740000,0.007406,0.007406,0.007406,0.007406,2671.0
PENGU,PENGU-USDC,PENGU,1m,1773382800000,0.007406,0.007406,0.007406,0.007406,0.0
PENGU,PENGU-USDC,PENGU,1m,1773382860000,0.00742,0.007423,0.00742,0.00742,9736.0
PENGU,PENGU-USDC,PENGU,1m,1773382920000,0.007411,0.007411,0.007408,0.007408,6957.0
PENGU,PENGU-USDC,PENGU,1m,1773382980000,0.007407,0.007408,0.007404,0.007404,659397.0
PENGU,PENGU-USDC,PENGU,1m,1773383040000,0.007406,0.007406,0.007406,0.007406,3039.0
PENGU,PENGU-USDC,PENGU,1m,1773383100000,0.007405,0.007405,0.00739,0.00739,5775.0
PENGU,PENGU-USDC,PENGU,1m,1773383160000,0.007381,0.007381,0.007381,0.007381,1491.0
PENGU,PENGU-USDC,PENGU,1m,1773383220000,0.007381,0.007381,0.007381,0.007381,2546.0
PENGU,PENGU-USDC,PENGU,1m,1773383280000,0.007374,0.007374,0.00735,0.00735,265832.0
PENGU,PENGU-USDC,PENGU,1m,1773383340000,0.007357,0.007357,0.007356,0.007356,7971.0
PENGU,PENGU-USDC,PENGU,1m,1773383400000,0.007359,0.007359,0.007359,0.007359,2308.0
PENGU,PENGU-USDC,PENGU,1m,1773383460000,0.007357,0.007366,0.007357,0.007366,4359.0
PENGU,PENGU-USDC,PENGU,1m,1773383520000,0.007367,0.007372,0.007365,0.007372,1572294.0
PENGU,PENGU-USDC,PENGU,1m,1773383580000,0.007369,0.007369,0.00735,0.00735,151717.0
PENGU,PENGU-USDC,PENGU,1m,1773383640000,0.007348,0.007358,0.007332,0.007358,701842.0
PENGU,PENGU-USDC,PENGU,1m,1773383700000,0.00736,0.007364,0.00736,0.007364,2921.0
PENGU,PENGU-USDC,PENGU,1m,1773383760000,0.007359,0.007359,0.007359,0.007359,2572.0
